lon,lat,name,address,pname,cityname,adname,business_area,type,typecode,id,type1,type2,type3,type4
113.55243440271121,22.18979338166656,新濠仔海鲜美食,马济时总督大马路262-268号恒基花园地下,澳门特别行政区,澳门特别行政区,大堂区,,餐饮服务;中餐厅;中餐厅,050100,B073D0MEDI,餐饮服务,中餐厅,中餐厅,
113.5558617048775,22.191200681291722,珀克餐厅,孙逸仙大马路澳门渔人码头励庭海景酒店阁楼,澳门特别行政区,澳门特别行政区,大堂区,,餐饮服务;外国餐厅;外国餐厅,050200,B0FFGDSZ1Y,餐饮服务,外国餐厅,外国餐厅,
113.55229209189977,22.18969009380078,家常便饭,澳门马济时总督大马路265号建兴隆广场地下AG铺,澳门特别行政区,澳门特别行政区,大堂区,,餐饮服务;中餐厅;中餐厅,050100,B0FFJ9WDU9,餐饮服务,中餐厅,中餐厅,
113.55033047822167,22.192148443068266,新口岸葡国餐,新口岸宋玉生广场606H-606G中裕大厦L层,澳门特别行政区,澳门特别行政区,大堂区,,餐饮服务;外国餐厅;葡国菜,050213,B073D0M43V,餐饮服务,外国餐厅,葡国菜,
113.55043273342964,22.191848523428114,新康记,宋玉生广场606G号(澳门友谊大马路747F号地下),澳门特别行政区,澳门特别行政区,大堂区,,餐饮服务;餐饮相关场所;餐饮相关,050000,B0FFIJVLYS,餐饮服务,餐饮相关场所,餐饮相关,
113.55033450402516,22.19188835719139,亚热带咖啡美食,新口岸北京街147号地下,澳门特别行政区,澳门特别行政区,大堂区,,餐饮服务;快餐厅;快餐厅,050300,B0FFF9DYM6,餐饮服务,快餐厅,快餐厅,
113.55031846230747,22.19196135386155,兴旺发大排档,宋玉生广场606-J中裕花园地下N铺,澳门特别行政区,澳门特别行政区,大堂区,,餐饮服务;中餐厅;中餐厅,050100,B0J1UA5VQ6,餐饮服务,中餐厅,中餐厅,
113.55030445173644,22.191617204570875,金越越南牛肉粉(新口岸店),友谊大马路733号中富大厦地下,澳门特别行政区,澳门特别行政区,大堂区,,餐饮服务;外国餐厅;泰国/越南菜品餐厅,050206,B0JUOS9GKK,餐饮服务,外国餐厅,泰国/越南菜品餐厅,
113.5515373872473,22.189814796471165,三六九冰室,新口岸诚丰商业中心地下AI铺及1层(布鲁塞尔街67号),澳门特别行政区,澳门特别行政区,大堂区,,餐饮服务;冷饮店;冷饮店,050700,B0IDD6S2HP,餐饮服务,冷饮店,冷饮店,
113.55048477803095,22.193038045124084,德悦轩,果亚街与昆明街交叉口南40米,澳门特别行政区,澳门特别行政区,大堂区,,餐饮服务;中餐厅;中餐厅,050100,B0J6ABT2SN,餐饮服务,中餐厅,中餐厅,
113.55217685442999,22.189372775785476,新记火锅美食(皇朝罗马街店),宋玉生广场(皇朝)罗马街99号地下,澳门特别行政区,澳门特别行政区,大堂区,,餐饮服务;中餐厅;火锅店,050117,B073D00LT8,餐饮服务,中餐厅,火锅店,
113.5522550270609,22.18940692622873,杏苑烧腊美食(兴海阁店),新口岸罗马街105号地下铺,澳门特别行政区,澳门特别行政区,大堂区,,餐饮服务;中餐厅;中餐厅,050100,B0FFJDGFDI,餐饮服务,中餐厅,中餐厅,
113.55250760742493,22.189134272415004,渔兵卫海鲜丼(皇朝店),马济时大马路195号东南亚花园地下AO(金沙),澳门特别行政区,澳门特别行政区,大堂区,,餐饮服务;餐饮相关场所;餐饮相关,050000,B0FFIK0LIZ,餐饮服务,餐饮相关场所,餐饮相关,
113.55014203548981,22.19224913177594,忠成饺子王(利澳店),高美士街40-A号南园地下G及H座68-G,澳门特别行政区,澳门特别行政区,大堂区,,餐饮服务;餐饮相关场所;餐饮相关,050000,B0FFKPFQM4,餐饮服务,餐饮相关场所,餐饮相关,
113.5561431548802,22.193334901033804,roman gelato,毕仕达大马路18号,澳门特别行政区,澳门特别行政区,大堂区,,餐饮服务;冷饮店;冷饮店,050700,B0KAC91C3I,餐饮服务,冷饮店,冷饮店,
113.55240938834007,22.189141102279986,太阳冰室(皇朝店),罗马街110号东南亚商业中心AK座一楼,澳门特别行政区,澳门特别行政区,大堂区,,餐饮服务;餐饮相关场所;餐饮相关,050000,B0IG2CA0FF,餐饮服务,餐饮相关场所,餐饮相关,
113.55661419767085,22.192217254829345,太艮堡陈老太顺德料理(澳门渔人码头店),友谊大马路澳门渔人码头意大利馆地铺,澳门特别行政区,澳门特别行政区,大堂区,,餐饮服务;中餐厅;中餐厅,050100,B0FFG9CP9I,餐饮服务,中餐厅,中餐厅,
113.55254270562672,22.188816219088388,澳门海王冰室(皇朝店),马济时总督大马路100号东南亚花园地下AT及AU铺,澳门特别行政区,澳门特别行政区,大堂区,,餐饮服务;餐饮相关场所;餐饮相关,050000,B0FFIJPY4R,餐饮服务,餐饮相关场所,餐饮相关,
113.55256074183939,22.188877272783273,仨胜茶记,澳门马济总督大马路177号东南亚花园地下AS座,澳门特别行政区,澳门特别行政区,大堂区,,餐饮服务;餐饮相关场所;餐饮相关,050000,B0IUSXDBUQ,餐饮服务,餐饮相关场所,餐饮相关,
113.54986536587259,22.192665768554054,喜粤8号(利澳酒店店),高美士街与宋玉生广场交叉口东北40米,澳门特别行政区,澳门特别行政区,大堂区,,餐饮服务;中餐厅;中餐厅,050100,B0FFJ7Y4PF,餐饮服务,中餐厅,中餐厅,
113.55377098919267,22.195374695528287,陶香居酒家(中莲大厦店),高美士街564号(鸿安中心),澳门特别行政区,澳门特别行政区,大堂区,,餐饮服务;中餐厅;中餐厅,050100,B073D00KDU,餐饮服务,中餐厅,中餐厅,
113.55418790365121,22.19518033394372,九记饭店,毕仕达大马路54号D鸿安中心第三座地下,澳门特别行政区,澳门特别行政区,大堂区,,餐饮服务;中餐厅;中餐厅,050100,B073D00LXV,餐饮服务,中餐厅,中餐厅,
113.55692283910567,22.192064689198705,厨泰餐厅(渔人码头店),友谊大马路3号铺渔人码头阿姆斯特丹馆,澳门特别行政区,澳门特别行政区,大堂区,,餐饮服务;外国餐厅;泰国/越南菜品餐厅,050206,B073D0M526,餐饮服务,外国餐厅,泰国/越南菜品餐厅,
113.55158052900217,22.189118622565648,宫斗烧肉,澳门特别行政区澳门特别行政区大堂区,澳门特别行政区,澳门特别行政区,大堂区,,餐饮服务;外国餐厅;日本料理,050202,B0HG3ADKZC,餐饮服务,外国餐厅,日本料理,
113.55692276563018,22.193222103557275,零角度Zero Angle,渔人码头罗马及英国馆08商铺地下,澳门特别行政区,澳门特别行政区,大堂区,,餐饮服务;餐饮相关场所;餐饮相关,050000,B0IDFUVR1A,餐饮服务,餐饮相关场所,餐饮相关,
113.55270007747562,22.18846036595951,李家宴(环宇豪庭店),澳门特别行政区大堂区马济时大马路与伦敦街交汇116号AC地铺,澳门特别行政区,澳门特别行政区,大堂区,,餐饮服务;中餐厅;中餐厅,050100,B0FFKB83TJ,餐饮服务,中餐厅,中餐厅,
113.55411772535643,22.195605366507024,金龙轩(马六甲街店),马六甲街17-103号金龙酒店主楼4楼,澳门特别行政区,澳门特别行政区,大堂区,,体育休闲服务;娱乐场所;夜总会|体育休闲服务;娱乐场所;博彩中心|餐饮服务;中餐厅;中餐厅,080301|080307|050100,B073D00BFD,体育休闲服务,娱乐场所,夜总会|体育休闲服务,娱乐场所
